epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8047,1.73107,1.70332,0.92286,0.60968,0.39465,0.36869,0.1862,1.47556,1.0499,0.88365,0.000411111,0.000411111,0.000411111
2,24.2197,1.58271,1.02781,0.87924,0.76404,0.41983,0.48455,0.25267,1.42286,0.92363,0.8683,0.000811388,0.000811388,0.000811388
3,38.0733,1.51829,0.93776,0.86997,0.66653,0.49552,0.50207,0.261,1.395,0.92791,0.86709,0.00119516,0.00119516,0.00119516
4,52.0599,1.50816,0.9299,0.86773,0.77968,0.52646,0.55999,0.29767,1.29805,0.93414,0.856,0.00117575,0.00117575,0.00117575
5,63.31,1.44272,0.87738,0.85986,0.8248,0.49168,0.56201,0.31778,1.26308,0.80235,0.84792,0.001151,0.001151,0.001151
6,76.8823,1.45781,0.84071,0.85246,0.76772,0.49189,0.56776,0.30265,1.30894,0.79673,0.85138,0.00112625,0.00112625,0.00112625
7,92.5055,1.43801,0.80775,0.8547,0.80346,0.54626,0.61399,0.32376,1.32893,0.7929,0.85832,0.0011015,0.0011015,0.0011015
8,106.929,1.3881,0.78797,0.84278,0.85226,0.53933,0.63864,0.34914,1.23599,0.73504,0.84477,0.00107675,0.00107675,0.00107675
9,120.881,1.35122,0.74363,0.84466,0.7184,0.58173,0.62601,0.35744,1.21376,0.72042,0.84176,0.001052,0.001052,0.001052
10,134.817,1.29617,0.71071,0.84095,0.81561,0.58277,0.64884,0.36841,1.18493,0.69988,0.84148,0.00102725,0.00102725,0.00102725
11,149.111,1.32041,0.73374,0.84048,0.76693,0.60851,0.66877,0.37318,1.18336,0.70124,0.83915,0.0010025,0.0010025,0.0010025
12,162.906,1.29796,0.71418,0.83694,0.76716,0.62944,0.6549,0.38172,1.17837,0.65992,0.83637,0.00097775,0.00097775,0.00097775
